,Sep,Force
0,0.0,-1.3e-10
1,-1.11e-10,-1.3e-10
2,-2.88e-10,-1.28e-10
3,-3.42e-10,-1.27e-10
4,-3.56e-10,-1.26e-10
5,-3.49e-10,-1.24e-10
6,-2.53e-10,-1.24e-10
7,-2.62e-10,-1.22e-10
8,-2.87e-10,-1.21e-10
9,-3.39e-10,-1.2e-10
10,-3.7e-10,-1.19e-10
11,-2.68e-10,-1.18e-10
12,-2.09e-10,-1.17e-10
13,-2.86e-10,-1.15e-10
14,-4.1e-10,-1.14e-10
15,-5.15e-10,-1.12e-10
16,-5.76e-10,-1.11e-10
17,-5.1e-10,-1.1e-10
18,-5.46e-10,-1.09e-10
19,-6.22e-10,-1.07e-10
20,-5.65e-10,-1.06e-10
21,-5.15e-10,-1.05e-10
22,-4.79e-10,-1.04e-10
23,-5.22e-10,-1.03e-10
24,-5.95e-10,-1.02e-10
25,-6.07e-10,-1e-10
26,-6.13e-10,-9.92e-11
27,-6.22e-10,-9.79e-11
28,-6.25e-10,-9.67e-11
29,-5.71e-10,-9.56e-11
30,-5.72e-10,-9.43e-11
31,-6.76e-10,-9.27e-11
32,-7.98e-10,-9.12e-11
33,-7.87e-10,-9e-11
34,-6.92e-10,-8.92e-11
35,-7.08e-10,-8.8e-11
36,-7.73e-10,-8.68e-11
37,-8.16e-10,-8.56e-11
38,-8.23e-10,-8.44e-11
39,-7.81e-10,-8.33e-11
40,-7.68e-10,-8.19e-11
41,-7.58e-10,-8.06e-11
42,-7.1e-10,-7.95e-11
43,-7.55e-10,-7.82e-11
44,-7.77e-10,-7.7e-11
45,-7.23e-10,-7.61e-11
46,-6.88e-10,-7.52e-11
47,-7.04e-10,-7.39e-11
48,-7.52e-10,-7.25e-11
49,-7.67e-10,-7.11e-11
50,-7.83e-10,-6.97e-11
51,-7.99e-10,-6.84e-11
52,-8.14e-10,-6.73e-11
53,-9.33e-10,-6.58e-11
54,-1e-09,-6.43e-11
55,-9.98e-10,-6.3e-11
56,-1e-09,-6.17e-11
57,-1.03e-09,-6.03e-11
58,-1.02e-09,-5.91e-11
59,-9.86e-10,-5.81e-11
60,-9.79e-10,-5.7e-11
61,-9.4e-10,-5.59e-11
62,-9.41e-10,-5.47e-11
63,-8.95e-10,-5.36e-11
64,-8.48e-10,-5.25e-11
65,-7.96e-10,-5.14e-11
66,-8.03e-10,-5.01e-11
67,-8.29e-10,-4.88e-11
68,-7.76e-10,-4.79e-11
69,-8.54e-10,-4.65e-11
70,-8.85e-10,-4.52e-11
71,-8.15e-10,-4.43e-11
72,-7.37e-10,-4.33e-11
73,-6.9e-10,-4.22e-11
74,-6.55e-10,-4.11e-11
75,-7.17e-10,-3.96e-11
76,-7.91e-10,-3.81e-11
77,-6.93e-10,-3.72e-11
78,-6.21e-10,-3.61e-11
79,-5.54e-10,-3.5e-11
80,-4.78e-10,-3.4e-11
81,-6.5e-10,-3.22e-11
82,-8.09e-10,-3.05e-11
83,-6.25e-10,-2.98e-11
84,-5.3e-10,-2.89e-11
85,-5.38e-10,-2.77e-11
86,-3.66e-10,-2.7e-11
87,-4.04e-10,-2.56e-11
88,-5.43e-10,-2.39e-11
89,-4.84e-10,-2.29e-11
90,-4.46e-10,-2.18e-11
91,-5.03e-10,-2.03e-11
92,-4.05e-10,-1.95e-11
93,-2.68e-10,-1.88e-11
94,-2.8e-10,-1.76e-11
95,-3.23e-10,-1.64e-11
96,-2.72e-10,-1.55e-11
97,-2e-10,-1.46e-11
98,-1.43e-10,-1.36e-11
99,-8.11e-11,-1.25e-11
100,-1.29e-10,-1.09e-11
101,-1.07e-10,-9.52e-12
102,1.47e-10,-9.01e-12
103,2.39e-10,-8.05e-12
104,1.25e-10,-6.44e-12
105,1.86e-10,-5.4e-12
106,3.97e-10,-4.79e-12
107,5.12e-10,-3.84e-12
108,6.96e-10,-3.2e-12
109,1.18e-09,-3.65e-12
110,1.41e-09,-3.27e-12
111,1.76e-09,-3.22e-12
112,2.13e-09,-3.19e-12
113,2.02e-09,-1.58e-12
114,2.05e-09,-4.06e-13
115,2.22e-09,2.79e-13
116,2.83e-09,-5.09e-13
117,3.67e-09,-2.1e-12
118,4.08e-09,-2.16e-12
119,3.7e-09,3.99e-13
120,3.33e-09,2.99e-12
121,4.66e-09,-1.19e-13
122,5.15e-09,-3.5e-13
123,5.37e-09,2.05e-13
124,6.65e-09,-2.93e-12
125,6.58e-09,-1.63e-12
126,6.28e-09,4.71e-13
127,7.02e-09,-8.71e-13
128,7.37e-09,-8.42e-13
129,6.93e-09,1.86e-12
130,6.43e-09,4.73e-12
131,6.45e-09,5.87e-12
132,7.58e-09,3.33e-12
133,8.58e-09,1.28e-12
134,9.05e-09,1.06e-12
135,8.98e-09,2.56e-12
136,8.9e-09,4.05e-12
137,9.82e-09,2.17e-12
138,1.05e-08,9.79e-13
139,1.07e-08,1.71e-12
140,1.09e-08,2.24e-12
141,1.08e-08,3.88e-12
142,1.13e-08,3.56e-12
143,1.15e-08,4.09e-12
144,1.07e-08,7.77e-12
145,1.09e-08,8.43e-12
146,1.15e-08,7.5e-12
147,1.17e-08,8.31e-12
148,1.19e-08,8.79e-12
149,1.26e-08,7.58e-12
150,1.34e-08,6.33e-12
151,1.37e-08,6.67e-12
152,1.4e-08,6.99e-12
153,1.45e-08,6.66e-12
154,1.49e-08,6.68e-12
155,1.51e-08,7.16e-12
156,1.51e-08,8.33e-12
157,1.53e-08,8.91e-12
158,1.57e-08,8.53e-12
159,1.67e-08,6.45e-12
160,1.71e-08,6.58e-12
161,1.69e-08,8.4e-12
162,1.75e-08,7.83e-12
163,1.78e-08,8.03e-12
164,1.79e-08,8.87e-12
165,1.84e-08,8.51e-12
166,1.9e-08,7.79e-12
167,1.97e-08,6.72e-12
168,2.04e-08,5.54e-12
169,2.06e-08,6.17e-12
170,2.07e-08,7.13e-12
171,2.09e-08,7.39e-12
172,2.04e-08,1.02e-11
173,2e-08,1.29e-11
174,2.09e-08,1.1e-11
175,2.19e-08,9.31e-12
176,2.23e-08,9.19e-12
177,2.28e-08,8.87e-12
178,2.28e-08,1.04e-11
179,2.26e-08,1.22e-11
180,2.26e-08,1.35e-11
181,2.28e-08,1.37e-11
182,2.31e-08,1.41e-11
183,2.35e-08,1.37e-11
184,2.47e-08,1.1e-11
185,2.55e-08,9.74e-12
186,2.56e-08,1.08e-11
187,2.56e-08,1.21e-11
188,2.49e-08,1.56e-11
