,Sep,Force
0,0.0,-1.27e-10
1,-1.76e-10,-1.26e-10
2,-2.91e-10,-1.25e-10
3,-1.71e-10,-1.24e-10
4,-2.34e-11,-1.23e-10
5,7.51e-11,-1.23e-10
6,1.76e-11,-1.21e-10
7,-8.78e-11,-1.2e-10
8,-3.09e-11,-1.19e-10
9,1.22e-10,-1.18e-10
10,1.46e-10,-1.17e-10
11,6.77e-11,-1.15e-10
12,2.14e-11,-1.14e-10
13,-6.78e-12,-1.13e-10
14,-1.77e-11,-1.11e-10
15,-6.96e-12,-1.1e-10
16,-6.37e-12,-1.09e-10
17,-6.64e-11,-1.08e-10
18,-1.26e-10,-1.07e-10
19,-9.4e-11,-1.06e-10
20,-8.48e-11,-1.04e-10
21,-1.21e-10,-1.03e-10
22,-1.6e-10,-1.02e-10
23,-1e-10,-1.01e-10
24,-1.29e-10,-9.95e-11
25,-3.17e-10,-9.78e-11
26,-3.86e-10,-9.64e-11
27,-4.07e-10,-9.52e-11
28,-4.43e-10,-9.38e-11
29,-4.37e-10,-9.26e-11
30,-4.5e-10,-9.13e-11
31,-3.76e-10,-9.03e-11
32,-4.08e-10,-8.89e-11
33,-4.38e-10,-8.76e-11
34,-3.75e-10,-8.67e-11
35,-4.74e-10,-8.53e-11
36,-4.8e-10,-8.42e-11
37,-4.21e-10,-8.33e-11
38,-4.78e-10,-8.19e-11
39,-4.73e-10,-8.07e-11
40,-3.67e-10,-7.98e-11
41,-2.92e-10,-7.87e-11
42,-1.38e-10,-7.79e-11
43,1.39e-11,-7.71e-11
44,-4.23e-11,-7.57e-11
45,-1.29e-10,-7.42e-11
46,-1.21e-10,-7.32e-11
47,-2.11e-10,-7.18e-11
48,-3.28e-10,-7.03e-11
49,-3.88e-10,-6.89e-11
50,-3.82e-10,-6.78e-11
51,-3.57e-10,-6.66e-11
52,-4.42e-10,-6.5e-11
53,-5.14e-10,-6.34e-11
54,-4.62e-10,-6.23e-11
55,-4.73e-10,-6.1e-11
56,-5.36e-10,-5.96e-11
57,-4.69e-10,-5.86e-11
58,-3.67e-10,-5.77e-11
59,-4.81e-10,-5.62e-11
60,-5.74e-10,-5.46e-11
61,-4.62e-10,-5.37e-11
62,-3.73e-10,-5.27e-11
63,-2.88e-10,-5.17e-11
64,-3.58e-10,-5.02e-11
65,-2.92e-10,-4.92e-11
66,-4.48e-11,-4.89e-11
67,-1.53e-11,-4.78e-11
68,-7.47e-11,-4.65e-11
69,-5.45e-11,-4.54e-11
70,-3.98e-13,-4.43e-11
71,6.05e-11,-4.32e-11
72,8.57e-11,-4.2e-11
73,1.33e-10,-4.09e-11
74,4.18e-11,-3.94e-11
75,-6.23e-11,-3.8e-11
76,-1.89e-10,-3.64e-11
77,-2.84e-10,-3.49e-11
78,8.75e-11,-3.48e-11
79,2.22e-10,-3.4e-11
80,5.63e-11,-3.21e-11
81,1.39e-10,-3.12e-11
82,3.77e-10,-3.07e-11
83,3.72e-10,-2.94e-11
84,4.02e-10,-2.83e-11
85,5.61e-10,-2.76e-11
86,6.57e-10,-2.68e-11
87,7.85e-10,-2.6e-11
88,8.47e-10,-2.49e-11
89,9.12e-10,-2.39e-11
90,9.29e-10,-2.27e-11
91,9.95e-10,-2.18e-11
92,1.15e-09,-2.12e-11
93,1.05e-09,-1.97e-11
94,8.85e-10,-1.78e-11
95,8.96e-10,-1.66e-11
96,9.89e-10,-1.57e-11
97,1.17e-09,-1.52e-11
98,1.3e-09,-1.45e-11
99,1.27e-09,-1.32e-11
100,1.29e-09,-1.21e-11
101,1.58e-09,-1.18e-11
102,2.12e-09,-1.24e-11
103,2.22e-09,-1.15e-11
104,2.2e-09,-1.01e-11
105,2.04e-09,-8.3e-12
106,2.1e-09,-7.07e-12
107,2.59e-09,-7.31e-12
108,2.67e-09,-6.25e-12
109,2.46e-09,-4.28e-12
110,2.48e-09,-3.09e-12
111,3.31e-09,-4.62e-12
112,4e-09,-5.66e-12
113,3.82e-09,-3.76e-12
114,3.46e-09,-1.28e-12
115,3.71e-09,-9.08e-13
116,3.84e-09,-9.94e-14
117,3.73e-09,1.48e-12
118,3.96e-09,1.88e-12
119,4.19e-09,2.3e-12
120,4.56e-09,2.25e-12
121,4.95e-09,2.2e-12
122,5.07e-09,3.16e-12
123,5.08e-09,4.5e-12
124,5.68e-09,3.75e-12
125,6.44e-09,2.46e-12
126,6.79e-09,2.59e-12
127,6.81e-09,3.81e-12
128,6.51e-09,6.07e-12
129,6.55e-09,7.1e-12
130,6.91e-09,7e-12
131,7.25e-09,7e-12
132,7.84e-09,6.25e-12
133,8.2e-09,6.36e-12
134,9.01e-09,4.99e-12
135,1.03e-08,1.95e-12
136,1.02e-08,3.51e-12
137,1.03e-08,4.62e-12
138,1.14e-08,2.07e-12
139,1.14e-08,3.08e-12
140,1.19e-08,2.83e-12
141,1.28e-08,1.09e-12
142,1.24e-08,3.58e-12
143,1.24e-08,4.85e-12
