,Sep,Force
0,0.0,-1.28e-10
1,2.68e-11,-1.28e-10
2,-2.66e-11,-1.27e-10
3,-2.19e-10,-1.25e-10
4,-1.84e-10,-1.24e-10
5,-1.38e-10,-1.23e-10
6,-2.86e-10,-1.22e-10
7,-3.45e-10,-1.2e-10
8,-2.75e-10,-1.19e-10
9,-2.78e-10,-1.18e-10
10,-2.71e-10,-1.17e-10
11,-2.36e-10,-1.16e-10
12,-3.29e-10,-1.14e-10
13,-2.79e-10,-1.13e-10
14,-2.4e-10,-1.12e-10
15,-3.39e-10,-1.11e-10
16,-4.94e-10,-1.09e-10
17,-4.92e-10,-1.08e-10
18,-4.51e-10,-1.07e-10
19,-4.18e-10,-1.06e-10
20,-4.11e-10,-1.05e-10
21,-5.14e-10,-1.03e-10
22,-5.34e-10,-1.02e-10
23,-4.8e-10,-1.01e-10
24,-5.32e-10,-9.97e-11
25,-4.63e-10,-9.88e-11
26,-3.97e-10,-9.78e-11
27,-5.6e-10,-9.61e-11
28,-5.36e-10,-9.5e-11
29,-4.56e-10,-9.41e-11
30,-3.65e-10,-9.31e-11
31,-4.39e-10,-9.16e-11
32,-7.28e-10,-8.94e-11
33,-6.17e-10,-8.85e-11
34,-3.18e-10,-8.83e-11
35,-1.62e-10,-8.75e-11
36,-1.09e-10,-8.64e-11
37,-5.43e-11,-8.54e-11
38,-2.76e-11,-8.44e-11
39,-1.23e-10,-8.3e-11
40,-1.25e-10,-8.19e-11
41,-7.29e-11,-8.09e-11
42,-1.62e-10,-7.94e-11
43,-2.29e-10,-7.8e-11
44,-2.34e-10,-7.67e-11
45,-2.71e-10,-7.54e-11
46,-3.28e-10,-7.4e-11
47,-3.23e-10,-7.29e-11
48,-1.88e-10,-7.21e-11
49,-8.78e-11,-7.12e-11
50,-6.76e-11,-6.99e-11
51,-1.94e-10,-6.82e-11
52,-4.05e-10,-6.63e-11
53,-4.63e-10,-6.49e-11
54,-2.15e-10,-6.45e-11
55,7.55e-11,-6.41e-11
56,1.88e-10,-6.31e-11
57,2.13e-10,-6.19e-11
58,2.24e-10,-6.07e-11
59,1.9e-10,-5.95e-11
60,2.49e-10,-5.86e-11
61,2.39e-10,-5.74e-11
62,1.67e-10,-5.61e-11
63,7.91e-11,-5.46e-11
64,-5.46e-11,-5.29e-11
65,1.12e-10,-5.21e-11
66,1.78e-10,-5.11e-11
67,-2.39e-11,-4.92e-11
68,5.77e-11,-4.82e-11
69,1.87e-10,-4.75e-11
70,1.18e-10,-4.61e-11
71,1.4e-10,-4.49e-11
72,1.68e-10,-4.38e-11
73,2.02e-10,-4.27e-11
74,4.46e-10,-4.23e-11
75,6.06e-10,-4.16e-11
76,7.01e-10,-4.06e-11
77,7.81e-10,-3.96e-11
78,6.19e-10,-3.79e-11
79,4.17e-10,-3.6e-11
80,3.92e-10,-3.47e-11
81,4.63e-10,-3.38e-11
82,4.31e-10,-3.25e-11
83,2.56e-10,-3.07e-11
84,2.5e-10,-2.95e-11
85,4.13e-10,-2.87e-11
86,4.9e-10,-2.77e-11
87,5.3e-10,-2.65e-11
88,4.9e-10,-2.51e-11
89,4.91e-10,-2.38e-11
90,8.75e-10,-2.38e-11
91,8.54e-10,-2.25e-11
92,6.72e-10,-2.06e-11
93,8.86e-10,-2.02e-11
94,1.02e-09,-1.94e-11
95,9.48e-10,-1.8e-11
96,1.04e-09,-1.72e-11
97,1.34e-09,-1.71e-11
98,1.44e-09,-1.64e-11
99,1.44e-09,-1.52e-11
100,1.61e-09,-1.46e-11
101,1.8e-09,-1.41e-11
102,1.92e-09,-1.33e-11
103,1.97e-09,-1.21e-11
104,1.85e-09,-1.03e-11
105,1.83e-09,-8.83e-12
106,1.77e-09,-7.33e-12
107,2.07e-09,-7.16e-12
108,2.44e-09,-7.24e-12
109,2.5e-09,-6.24e-12
110,2.82e-09,-5.99e-12
111,3.1e-09,-5.56e-12
112,3.07e-09,-4.09e-12
113,3.3e-09,-3.55e-12
114,3.43e-09,-2.76e-12
115,3.29e-09,-1.12e-12
116,3.66e-09,-1.19e-12
117,3.85e-09,-6.11e-13
118,4.39e-09,-1.21e-12
119,4.92e-09,-1.79e-12
120,5.35e-09,-1.99e-12
121,5.65e-09,-1.68e-12
122,5.43e-09,3.21e-13
123,5.1e-09,2.7e-12
124,5.42e-09,2.91e-12
125,6e-09,2.26e-12
126,5.89e-09,3.94e-12
