,Sep,Force
0,0.0,-1.28e-10
1,-9.99e-11,-1.28e-10
2,-2.54e-10,-1.26e-10
3,-3.07e-10,-1.25e-10
4,-2.38e-10,-1.24e-10
5,-2.77e-10,-1.23e-10
6,-4.2e-10,-1.21e-10
7,-4.14e-10,-1.2e-10
8,-4.04e-10,-1.19e-10
9,-5.55e-10,-1.17e-10
10,-7.09e-10,-1.15e-10
11,-6.58e-10,-1.14e-10
12,-5.87e-10,-1.14e-10
13,-5.95e-10,-1.13e-10
14,-5.93e-10,-1.11e-10
15,-7.36e-10,-1.1e-10
16,-8.34e-10,-1.08e-10
17,-8.21e-10,-1.07e-10
18,-7.67e-10,-1.06e-10
19,-5.9e-10,-1.05e-10
20,-4.63e-10,-1.04e-10
21,-4.33e-10,-1.03e-10
22,-4.31e-10,-1.02e-10
23,-3.97e-10,-1.01e-10
24,-4.32e-10,-9.98e-11
25,-4.34e-10,-9.86e-11
26,-2.95e-10,-9.78e-11
27,-2.55e-10,-9.68e-11
28,-4.31e-10,-9.51e-11
29,-6.06e-10,-9.33e-11
30,-6.08e-10,-9.22e-11
31,-5.89e-10,-9.11e-11
32,-6.5e-10,-8.97e-11
33,-6.11e-10,-8.87e-11
34,-5.39e-10,-8.78e-11
35,-5.87e-10,-8.64e-11
36,-6.64e-10,-8.48e-11
37,-6.84e-10,-8.35e-11
38,-6.11e-10,-8.25e-11
39,-6e-10,-8.14e-11
40,-6.56e-10,-8e-11
41,-5.64e-10,-7.91e-11
42,-4.61e-10,-7.83e-11
43,-5.34e-10,-7.68e-11
44,-6.44e-10,-7.53e-11
45,-5.94e-10,-7.42e-11
46,-5.15e-10,-7.33e-11
47,-5.25e-10,-7.21e-11
48,-4.35e-10,-7.11e-11
49,-2.63e-10,-7.04e-11
50,-1.39e-10,-6.96e-11
51,-1.01e-10,-6.84e-11
52,-1.08e-10,-6.72e-11
53,-1.01e-10,-6.61e-11
54,-3.86e-11,-6.51e-11
55,-3.21e-11,-6.39e-11
56,-8.63e-11,-6.25e-11
57,1.08e-10,-6.19e-11
58,1.63e-10,-6.09e-11
59,3.68e-11,-5.92e-11
60,-4.14e-11,-5.77e-11
61,-1.18e-10,-5.63e-11
62,-1.08e-10,-5.52e-11
63,-8.73e-11,-5.41e-11
