,Sep,Force
188,3e-08,1.18e-11
189,3.07e-08,1.05e-11
190,3.15e-08,9.19e-12
191,3.15e-08,1.03e-11
192,3.18e-08,1.07e-11
193,3.24e-08,9.84e-12
194,3.27e-08,1.02e-11
195,3.25e-08,1.2e-11
196,3.28e-08,1.23e-11
197,3.34e-08,1.19e-11
198,3.38e-08,1.16e-11
199,3.38e-08,1.28e-11
200,3.37e-08,1.45e-11
201,3.44e-08,1.32e-11
202,3.51e-08,1.21e-11
203,3.56e-08,1.19e-11
204,3.54e-08,1.37e-11
205,3.5e-08,1.66e-11
206,3.52e-08,1.7e-11
207,3.59e-08,1.62e-11
208,3.66e-08,1.51e-11
209,3.7e-08,1.5e-11
210,3.72e-08,1.54e-11
211,3.7e-08,1.73e-11
212,3.7e-08,1.87e-11
213,3.78e-08,1.72e-11
214,3.87e-08,1.56e-11
215,3.86e-08,1.71e-11
216,3.82e-08,1.98e-11
217,3.86e-08,1.99e-11
218,3.93e-08,1.88e-11
219,3.97e-08,1.85e-11
220,4.02e-08,1.83e-11
221,3.99e-08,2.07e-11
222,3.95e-08,2.34e-11
223,4.03e-08,2.2e-11
224,4.1e-08,2.07e-11
225,4.13e-08,2.08e-11
226,4.21e-08,1.93e-11
227,4.26e-08,1.9e-11
228,4.23e-08,2.12e-11
229,4.31e-08,2.01e-11
230,4.37e-08,1.92e-11
231,4.32e-08,2.23e-11
232,4.35e-08,2.24e-11
233,4.4e-08,2.22e-11
234,4.45e-08,2.15e-11
235,4.62e-08,1.7e-11
236,4.65e-08,1.74e-11
237,4.64e-08,1.91e-11
238,4.68e-08,1.88e-11
239,4.74e-08,1.83e-11
240,4.79e-08,1.78e-11
241,4.81e-08,1.87e-11
242,5.03e-08,1.26e-11
243,5.28e-08,5.53e-12
244,5.28e-08,6.68e-12
245,5.24e-08,9.3e-12
246,5.29e-08,9.11e-12
247,5.37e-08,7.59e-12
248,5.38e-08,8.45e-12
249,5.4e-08,9.07e-12
250,5.46e-08,8.28e-12
251,5.48e-08,9.02e-12
252,5.55e-08,7.95e-12
253,5.64e-08,6.2e-12
254,5.66e-08,6.72e-12
255,5.74e-08,5.24e-12
256,5.8e-08,4.74e-12
257,5.73e-08,8.26e-12
258,5.67e-08,1.15e-11
259,5.76e-08,9.97e-12
260,5.93e-08,5.39e-12
261,5.98e-08,5.04e-12
262,6.02e-08,5.09e-12
263,6.07e-08,4.52e-12
264,6.08e-08,5.56e-12
265,6.13e-08,5.16e-12
266,6.11e-08,6.92e-12
267,6.08e-08,9.25e-12
268,6.11e-08,9.66e-12
269,6.19e-08,8.27e-12
270,6.28e-08,6.68e-12
271,6.33e-08,6.42e-12
272,6.36e-08,6.5e-12
273,6.34e-08,8.54e-12
274,6.31e-08,1.07e-11
275,6.29e-08,1.28e-11
276,6.31e-08,1.34e-11
277,6.46e-08,9.74e-12
278,6.57e-08,7.39e-12
279,6.6e-08,7.31e-12
280,6.62e-08,8.09e-12
281,6.52e-08,1.24e-11
282,6.53e-08,1.36e-11
283,6.63e-08,1.17e-11
284,6.73e-08,9.6e-12
285,6.85e-08,6.94e-12
286,6.84e-08,8.62e-12
287,6.85e-08,9.66e-12
288,6.89e-08,9.45e-12
289,6.89e-08,1.1e-11
290,6.93e-08,1.08e-11
291,6.93e-08,1.23e-11
292,6.92e-08,1.37e-11
293,6.95e-08,1.41e-11
294,7e-08,1.34e-11
295,7.07e-08,1.23e-11
296,7.13e-08,1.19e-11
297,7.18e-08,1.15e-11
298,7.19e-08,1.24e-11
299,7.19e-08,1.38e-11
300,7.18e-08,1.52e-11
301,7.26e-08,1.38e-11
302,7.3e-08,1.38e-11
303,7.32e-08,1.43e-11
304,7.41e-08,1.27e-11
305,7.43e-08,1.34e-11
306,7.43e-08,1.49e-11
307,7.43e-08,1.6e-11
308,7.45e-08,1.67e-11
309,7.5e-08,1.63e-11
310,7.53e-08,1.65e-11
311,7.52e-08,1.79e-11
312,7.53e-08,1.9e-11
313,7.6e-08,1.81e-11
314,7.71e-08,1.58e-11
315,7.76e-08,1.53e-11
316,7.78e-08,1.6e-11
317,7.81e-08,1.62e-11
318,7.86e-08,1.57e-11
319,7.87e-08,1.69e-11
320,7.84e-08,1.92e-11
321,7.82e-08,2.11e-11
322,7.87e-08,2.09e-11
323,7.95e-08,1.93e-11
324,7.98e-08,1.96e-11
325,8.02e-08,1.98e-11
326,8.03e-08,2.06e-11
327,8.05e-08,2.13e-11
328,8.1e-08,2.08e-11
329,8.18e-08,1.95e-11
330,8.25e-08,1.87e-11
331,8.22e-08,2.09e-11
332,8.21e-08,2.25e-11
333,8.24e-08,2.3e-11
334,8.26e-08,2.33e-11
335,8.29e-08,2.37e-11
336,8.28e-08,2.53e-11
337,8.29e-08,2.63e-11
338,8.35e-08,2.56e-11
339,8.46e-08,2.35e-11
340,8.49e-08,2.39e-11
341,8.48e-08,2.54e-11
342,8.51e-08,2.55e-11
343,8.52e-08,2.63e-11
344,8.53e-08,2.73e-11
345,8.54e-08,2.83e-11
346,8.57e-08,2.87e-11
347,8.62e-08,2.82e-11
348,8.63e-08,2.92e-11
349,8.61e-08,3.14e-11
350,8.65e-08,3.14e-11
351,8.68e-08,3.16e-11
352,8.78e-08,2.99e-11
353,8.82e-08,2.99e-11
354,8.79e-08,3.21e-11
355,8.82e-08,3.23e-11
356,8.82e-08,3.37e-11
357,8.8e-08,3.54e-11
358,8.86e-08,3.49e-11
359,8.92e-08,3.4e-11
360,8.88e-08,3.69e-11
361,8.89e-08,3.8e-11
362,8.94e-08,3.77e-11
363,8.94e-08,3.88e-11
364,8.98e-08,3.87e-11
365,8.97e-08,4.03e-11
366,8.99e-08,4.11e-11
367,9.03e-08,4.08e-11
368,9.09e-08,4.02e-11
369,9.12e-08,4.07e-11
370,9.09e-08,4.27e-11
