,Sep,Force
0,0.0,-1.27e-10
1,-2.4e-11,-1.26e-10
2,-7.41e-11,-1.25e-10
3,-1.02e-10,-1.24e-10
4,-8.16e-11,-1.23e-10
5,-7.35e-11,-1.22e-10
6,-1.12e-10,-1.21e-10
7,-2.59e-10,-1.19e-10
8,-4.72e-10,-1.17e-10
9,-4.41e-10,-1.16e-10
10,-3.74e-10,-1.15e-10
11,-3.33e-10,-1.14e-10
12,-2.86e-10,-1.13e-10
13,-3.58e-10,-1.11e-10
14,-3.01e-10,-1.1e-10
15,-1.74e-10,-1.1e-10
16,-2.31e-10,-1.08e-10
17,-3.8e-10,-1.07e-10
18,-4.02e-10,-1.06e-10
19,-2.83e-10,-1.05e-10
20,-2.76e-10,-1.04e-10
21,-3.08e-10,-1.02e-10
22,-3.19e-10,-1.01e-10
23,-4.04e-10,-9.98e-11
24,-4.54e-10,-9.85e-11
25,-5.44e-10,-9.71e-11
26,-6.42e-10,-9.55e-11
27,-7.21e-10,-9.41e-11
28,-8.15e-10,-9.25e-11
29,-8.57e-10,-9.12e-11
30,-8.21e-10,-9e-11
31,-8.01e-10,-8.88e-11
32,-7.77e-10,-8.77e-11
33,-9.01e-10,-8.61e-11
34,-1.08e-09,-8.44e-11
35,-1.09e-09,-8.32e-11
36,-1.06e-09,-8.22e-11
37,-1.07e-09,-8.1e-11
38,-1.14e-09,-7.95e-11
39,-1.12e-09,-7.84e-11
40,-1.09e-09,-7.73e-11
41,-1.08e-09,-7.62e-11
42,-1.09e-09,-7.5e-11
43,-1.11e-09,-7.37e-11
44,-1.05e-09,-7.27e-11
45,-9.08e-10,-7.19e-11
46,-9.19e-10,-7.06e-11
47,-1.1e-09,-6.87e-11
48,-1e-09,-6.78e-11
49,-8.83e-10,-6.7e-11
50,-9.58e-10,-6.55e-11
51,-9.99e-10,-6.41e-11
52,-1.15e-09,-6.24e-11
53,-1.36e-09,-6.05e-11
54,-1.38e-09,-5.93e-11
55,-1.39e-09,-5.8e-11
56,-1.46e-09,-5.66e-11
57,-1.2e-09,-5.64e-11
58,-1.01e-09,-5.59e-11
59,-1.05e-09,-5.45e-11
60,-1.02e-09,-5.32e-11
61,-1.01e-09,-5.19e-11
62,-9.47e-10,-5.08e-11
63,-9.66e-10,-4.95e-11
64,-1.03e-09,-4.82e-11
65,-9.18e-10,-4.74e-11
66,-9.84e-10,-4.6e-11
67,-1.09e-09,-4.44e-11
68,-1.07e-09,-4.33e-11
69,-1.03e-09,-4.22e-11
70,-9.72e-10,-4.12e-11
71,-9.19e-10,-4.01e-11
72,-6.15e-10,-3.99e-11
73,-5.04e-10,-3.9e-11
74,-7.26e-10,-3.71e-11
75,-7.43e-10,-3.58e-11
76,-6.39e-10,-3.49e-11
77,-4.43e-10,-3.43e-11
78,-3.96e-10,-3.33e-11
79,-4e-10,-3.21e-11
80,-3.41e-10,-3.1e-11
81,-1.3e-10,-3.05e-11
82,2.65e-10,-3.05e-11
83,2.19e-10,-2.91e-11
84,-8.29e-11,-2.68e-11
85,9.59e-12,-2.58e-11
86,2.06e-10,-2.52e-11
87,2.03e-10,-2.4e-11
88,2.01e-10,-2.28e-11
89,2.21e-10,-2.16e-11
90,1.99e-10,-2.03e-11
91,3.07e-10,-1.94e-11
92,3.09e-10,-1.81e-11
93,3.29e-10,-1.69e-11
94,8.69e-10,-1.75e-11
95,1.32e-09,-1.79e-11
96,1.29e-09,-1.67e-11
97,1.23e-09,-1.54e-11
98,1.12e-09,-1.38e-11
99,1.24e-09,-1.3e-11
100,1.55e-09,-1.29e-11
101,2.21e-09,-1.39e-11
102,2.12e-09,-1.25e-11
103,1.64e-09,-9.56e-12
104,2.16e-09,-9.88e-12
105,2.26e-09,-8.79e-12
106,2.23e-09,-7.28e-12
107,2.4e-09,-6.57e-12
108,2.73e-09,-6.38e-12
109,2.6e-09,-4.64e-12
110,3.02e-09,-4.78e-12
111,3.58e-09,-5.38e-12
112,3.2e-09,-2.82e-12
113,3.69e-09,-3.18e-12
114,4.21e-09,-3.66e-12
115,4.25e-09,-2.56e-12
116,4.78e-09,-3.13e-12
117,5.25e-09,-3.41e-12
118,5.18e-09,-1.91e-12
119,5.37e-09,-1.32e-12
120,5.71e-09,-1.31e-12
121,5.8e-09,-4.77e-13
122,6.48e-09,-1.55e-12
123,7.5e-09,-3.76e-12
124,7.46e-09,-2.39e-12
125,6.7e-09,1.44e-12
126,6.75e-09,2.51e-12
127,7.55e-09,1.04e-12
128,8.27e-09,-1.64e-13
129,8.65e-09,-2.23e-13
130,8.4e-09,1.82e-12
131,8.33e-09,3.34e-12
132,8.41e-09,4.37e-12
133,8.35e-09,5.85e-12
134,8.77e-09,5.7e-12
135,9.32e-09,5.04e-12
136,1.02e-08,3.34e-12
137,1.08e-08,2.55e-12
138,1.07e-08,3.93e-12
139,1.08e-08,4.9e-12
140,1.09e-08,6.15e-12
141,1.09e-08,7.41e-12
142,1.13e-08,7.24e-12
143,1.14e-08,8.2e-12
144,1.21e-08,7.26e-12
145,1.24e-08,7.3e-12
146,1.32e-08,5.95e-12
147,1.44e-08,3.07e-12
148,1.41e-08,5.32e-12
149,1.39e-08,7.18e-12
150,1.39e-08,8.42e-12
151,1.39e-08,9.64e-12
152,1.45e-08,8.92e-12
153,1.53e-08,7.63e-12
154,1.57e-08,7.53e-12
155,1.56e-08,8.9e-12
156,1.63e-08,8.06e-12
157,1.7e-08,6.9e-12
158,1.73e-08,7.31e-12
159,1.73e-08,8.56e-12
160,1.76e-08,8.77e-12
161,1.79e-08,8.81e-12
162,1.77e-08,1.07e-11
163,1.85e-08,9.1e-12
164,1.88e-08,9.62e-12
165,1.87e-08,1.13e-11
166,1.91e-08,1.11e-11
167,1.92e-08,1.22e-11
168,1.96e-08,1.22e-11
169,1.96e-08,1.32e-11
170,1.96e-08,1.44e-11
171,2.01e-08,1.41e-11
172,2.06e-08,1.36e-11
173,2.13e-08,1.29e-11
174,2.21e-08,1.13e-11
175,2.28e-08,1.04e-11
176,2.27e-08,1.2e-11
177,2.22e-08,1.51e-11
178,2.22e-08,1.63e-11
179,2.27e-08,1.58e-11
180,2.3e-08,1.6e-11
181,2.29e-08,1.75e-11
182,2.33e-08,1.73e-11
183,2.41e-08,1.6e-11
184,2.5e-08,1.41e-11
185,2.53e-08,1.43e-11
186,2.59e-08,1.38e-11
187,2.72e-08,1.04e-11
188,2.87e-08,6.75e-12
189,3.03e-08,2.64e-12
190,3.1e-08,1.6e-12
191,3.07e-08,4.08e-12
192,3.06e-08,5.63e-12
193,3.08e-08,6.23e-12
194,3.17e-08,4.52e-12
195,3.22e-08,3.89e-12
196,3.23e-08,4.89e-12
197,3.26e-08,4.96e-12
198,3.35e-08,3.46e-12
199,3.43e-08,1.94e-12
200,3.45e-08,2.52e-12
201,3.49e-08,2.54e-12
202,3.48e-08,3.92e-12
203,3.5e-08,4.8e-12
204,3.49e-08,6.29e-12
205,3.54e-08,6e-12
206,3.65e-08,3.62e-12
207,3.62e-08,5.98e-12
208,3.62e-08,7.25e-12
209,3.64e-08,7.53e-12
210,3.7e-08,6.77e-12
211,3.82e-08,4.3e-12
212,3.86e-08,4.28e-12
213,3.89e-08,4.58e-12
214,3.89e-08,5.81e-12
215,3.9e-08,6.68e-12
216,3.97e-08,5.44e-12
217,4e-08,5.67e-12
218,4.09e-08,4.06e-12
219,4.22e-08,1.05e-12
220,4.13e-08,5.28e-12
221,4e-08,1.1e-11
222,4.04e-08,1.11e-11
223,4.05e-08,1.18e-11
224,4.09e-08,1.17e-11
225,4.12e-08,1.18e-11
226,4.17e-08,1.14e-11
227,4.28e-08,8.92e-12
228,4.37e-08,7.46e-12
229,4.49e-08,4.59e-12
230,4.61e-08,2.03e-12
231,4.59e-08,3.78e-12
232,4.53e-08,7.3e-12
233,4.58e-08,7.03e-12
234,4.66e-08,5.5e-12
235,4.73e-08,4.25e-12
236,4.78e-08,3.95e-12
237,4.75e-08,6.35e-12
238,4.73e-08,8.3e-12
239,4.75e-08,9.11e-12
240,4.79e-08,8.93e-12
241,4.91e-08,6.28e-12
242,4.96e-08,5.68e-12
243,4.94e-08,7.83e-12
244,4.94e-08,9.16e-12
245,4.92e-08,1.09e-11
246,4.93e-08,1.19e-11
247,5.04e-08,9.39e-12
248,5.16e-08,6.61e-12
249,5.22e-08,5.89e-12
250,5.25e-08,6.31e-12
251,5.2e-08,9.17e-12
252,5.16e-08,1.18e-11
253,5.22e-08,1.1e-11
254,5.24e-08,1.13e-11
255,5.26e-08,1.22e-11
256,5.27e-08,1.31e-11
257,5.29e-08,1.37e-11
258,5.31e-08,1.44e-11
259,5.37e-08,1.37e-11
260,5.52e-08,1e-11
261,5.55e-08,1.02e-11
262,5.5e-08,1.34e-11
263,5.49e-08,1.48e-11
264,5.54e-08,1.46e-11
265,5.59e-08,1.4e-11
266,5.69e-08,1.2e-11
267,5.74e-08,1.16e-11
268,5.74e-08,1.3e-11
269,5.76e-08,1.35e-11
270,5.79e-08,1.39e-11
271,5.87e-08,1.26e-11
272,5.85e-08,1.45e-11
273,5.78e-08,1.82e-11
274,5.87e-08,1.62e-11
275,5.97e-08,1.42e-11
276,5.98e-08,1.49e-11
277,6.03e-08,1.47e-11
278,6.06e-08,1.49e-11
279,6.04e-08,1.69e-11
280,5.98e-08,2.02e-11
281,5.96e-08,2.21e-11
282,6.01e-08,2.19e-11
283,6.05e-08,2.17e-11
284,6.12e-08,2.08e-11
285,6.21e-08,1.91e-11
286,6.2e-08,2.08e-11
287,6.2e-08,2.19e-11
288,6.2e-08,2.34e-11
289,6.24e-08,2.32e-11
290,6.37e-08,2.03e-11
291,6.41e-08,2e-11
292,6.4e-08,2.19e-11
293,6.42e-08,2.24e-11
294,6.53e-08,2e-11
295,6.57e-08,2.02e-11
296,6.57e-08,2.14e-11
297,6.56e-08,2.3e-11
298,6.58e-08,2.38e-11
299,6.6e-08,2.42e-11
