,Sep,Force
0,0.0,-1.28e-10
1,-1.6e-10,-1.27e-10
2,-3.22e-10,-1.26e-10
3,-3.72e-10,-1.24e-10
4,-3.2e-10,-1.23e-10
5,-2.65e-10,-1.22e-10
6,-4.76e-10,-1.21e-10
7,-6.45e-10,-1.19e-10
8,-5.73e-10,-1.18e-10
9,-4.92e-10,-1.17e-10
10,-5.28e-10,-1.16e-10
11,-5.36e-10,-1.15e-10
12,-4.54e-10,-1.14e-10
13,-5.19e-10,-1.12e-10
14,-5.89e-10,-1.11e-10
15,-5.09e-10,-1.1e-10
16,-5.47e-10,-1.09e-10
17,-7.24e-10,-1.07e-10
18,-7.95e-10,-1.05e-10
19,-6.54e-10,-1.05e-10
20,-7.04e-10,-1.03e-10
21,-8.66e-10,-1.02e-10
22,-8.56e-10,-1.01e-10
23,-7.77e-10,-9.97e-11
24,-6.81e-10,-9.87e-11
25,-7.34e-10,-9.73e-11
26,-7.85e-10,-9.6e-11
27,-7.76e-10,-9.49e-11
28,-8.26e-10,-9.36e-11
29,-9.59e-10,-9.2e-11
30,-1.08e-09,-9.04e-11
31,-1.09e-09,-8.91e-11
32,-1.05e-09,-8.8e-11
33,-1.01e-09,-8.68e-11
34,-9.56e-10,-8.58e-11
35,-9.76e-10,-8.46e-11
36,-9.88e-10,-8.34e-11
37,-9.76e-10,-8.23e-11
38,-1.06e-09,-8.09e-11
39,-1.09e-09,-7.97e-11
40,-9.44e-10,-7.9e-11
41,-8.72e-10,-7.79e-11
42,-9.27e-10,-7.65e-11
43,-9.8e-10,-7.5e-11
44,-1.05e-09,-7.36e-11
45,-1.05e-09,-7.24e-11
46,-9.71e-10,-7.15e-11
47,-9.69e-10,-7.04e-11
48,-9.53e-10,-6.93e-11
49,-9.59e-10,-6.81e-11
50,-1.05e-09,-6.65e-11
51,-1.09e-09,-6.51e-11
52,-1e-09,-6.42e-11
53,-8.82e-10,-6.34e-11
54,-8.81e-10,-6.21e-11
55,-8.47e-10,-6.09e-11
56,-7.81e-10,-5.99e-11
57,-7.98e-10,-5.86e-11
58,-8.36e-10,-5.73e-11
59,-7.35e-10,-5.64e-11
60,-6.32e-10,-5.56e-11
61,-6.27e-10,-5.45e-11
62,-6.87e-10,-5.31e-11
63,-7.83e-10,-5.15e-11
64,-6.9e-10,-5.05e-11
65,-4.8e-10,-4.99e-11
66,-5.59e-10,-4.84e-11
67,-6.81e-10,-4.68e-11
68,-5.18e-10,-4.6e-11
69,-3.48e-10,-4.54e-11
70,-3.01e-10,-4.44e-11
71,-3.62e-10,-4.3e-11
72,-1.86e-10,-4.24e-11
73,-1.53e-10,-4.13e-11
74,-3.86e-10,-3.93e-11
75,-3.13e-10,-3.83e-11
76,-1.56e-10,-3.77e-11
77,-6.93e-11,-3.67e-11
78,1.28e-10,-3.61e-11
79,3.5e-11,-3.44e-11
80,-1.05e-10,-3.27e-11
81,4.15e-12,-3.18e-11
82,1.41e-12,-3.06e-11
83,6.25e-11,-2.96e-11
84,1.51e-10,-2.87e-11
85,2.56e-10,-2.78e-11
86,3.59e-10,-2.7e-11
87,2.97e-10,-2.55e-11
88,5.39e-10,-2.51e-11
89,7.44e-10,-2.45e-11
90,6.15e-10,-2.27e-11
91,5.9e-10,-2.14e-11
92,6.84e-10,-2.05e-11
93,8.29e-10,-1.97e-11
94,1.01e-09,-1.92e-11
95,1.22e-09,-1.87e-11
96,1.2e-09,-1.74e-11
97,1.07e-09,-1.57e-11
98,1.31e-09,-1.53e-11
99,1.61e-09,-1.52e-11
