,Sep,Force
0,0.0,-1.24e-10
1,-1.69e-10,-1.23e-10
2,-3.97e-10,-1.21e-10
3,-4.78e-10,-1.2e-10
4,-4.21e-10,-1.19e-10
5,-3.99e-10,-1.18e-10
6,-5.47e-10,-1.16e-10
7,-5.97e-10,-1.15e-10
8,-5.11e-10,-1.14e-10
9,-4.84e-10,-1.13e-10
10,-4.36e-10,-1.12e-10
11,-4.28e-10,-1.11e-10
12,-5.74e-10,-1.09e-10
13,-6.5e-10,-1.08e-10
14,-6.03e-10,-1.07e-10
15,-6.05e-10,-1.06e-10
16,-6.12e-10,-1.04e-10
17,-5.25e-10,-1.03e-10
18,-5.18e-10,-1.02e-10
19,-5.84e-10,-1.01e-10
20,-5.76e-10,-9.96e-11
21,-4.86e-10,-9.88e-11
22,-4.32e-10,-9.78e-11
23,-4.85e-10,-9.65e-11
24,-5.91e-10,-9.49e-11
25,-6.82e-10,-9.34e-11
26,-6.72e-10,-9.22e-11
27,-6.25e-10,-9.12e-11
28,-5.82e-10,-9.02e-11
29,-5.11e-10,-8.92e-11
30,-4.36e-10,-8.82e-11
31,-3.16e-10,-8.74e-11
32,-1.71e-10,-8.66e-11
33,-2.18e-10,-8.53e-11
34,-4.8e-10,-8.33e-11
35,-7.11e-10,-8.14e-11
36,-6.07e-10,-8.06e-11
37,-5.61e-10,-7.96e-11
38,-6.28e-10,-7.81e-11
39,-5.67e-10,-7.71e-11
40,-6.91e-10,-7.55e-11
41,-7.77e-10,-7.41e-11
42,-6.62e-10,-7.33e-11
43,-6.27e-10,-7.22e-11
44,-6.46e-10,-7.09e-11
45,-7.94e-10,-6.91e-11
46,-8.61e-10,-6.76e-11
47,-7.06e-10,-6.68e-11
48,-6.13e-10,-6.59e-11
49,-6.76e-10,-6.45e-11
50,-7.08e-10,-6.33e-11
51,-6.62e-10,-6.23e-11
52,-7.09e-10,-6.08e-11
53,-8.14e-10,-5.91e-11
54,-6.76e-10,-5.83e-11
55,-5.56e-10,-5.75e-11
56,-6.71e-10,-5.59e-11
57,-6.45e-10,-5.49e-11
58,-5.33e-10,-5.42e-11
59,-4.71e-10,-5.32e-11
60,-4.73e-10,-5.19e-11
61,-5.92e-10,-5.02e-11
62,-6.23e-10,-4.89e-11
63,-6e-10,-4.77e-11
64,-7.11e-10,-4.62e-11
65,-7.98e-10,-4.47e-11
66,-6.95e-10,-4.39e-11
67,-5.39e-10,-4.33e-11
68,-5.65e-10,-4.2e-11
69,-6.85e-10,-4.04e-11
70,-5.9e-10,-3.94e-11
71,-5.09e-10,-3.84e-11
72,-4.83e-10,-3.72e-11
73,-3.12e-10,-3.66e-11
74,-2.62e-10,-3.56e-11
75,-2.57e-10,-3.43e-11
76,-1.05e-10,-3.36e-11
77,-8.84e-11,-3.24e-11
78,-1.88e-10,-3.08e-11
79,-5.17e-11,-3e-11
80,3.43e-10,-3.02e-11
81,4.5e-10,-2.94e-11
82,4.25e-10,-2.8e-11
83,3.56e-10,-2.65e-11
84,2.81e-10,-2.5e-11
85,3.54e-10,-2.39e-11
86,4.19e-10,-2.29e-11
87,4.39e-10,-2.17e-11
88,3.46e-10,-2.02e-11
89,4.95e-10,-1.95e-11
90,7.8e-10,-1.92e-11
91,1.13e-09,-1.92e-11
92,1.11e-09,-1.79e-11
93,7.77e-10,-1.56e-11
94,9.8e-10,-1.51e-11
95,1.14e-09,-1.44e-11
96,1.25e-09,-1.36e-11
97,1.28e-09,-1.24e-11
98,1.21e-09,-1.09e-11
99,1.77e-09,-1.16e-11
100,2.46e-09,-1.27e-11
101,2.25e-09,-1.08e-11
102,2.13e-09,-9.12e-12
103,2.68e-09,-9.71e-12
104,2.84e-09,-9.01e-12
105,2.79e-09,-7.65e-12
106,3.02e-09,-7.21e-12
107,3.15e-09,-6.39e-12
108,3.31e-09,-5.55e-12
109,3.48e-09,-4.75e-12
110,3.5e-09,-3.49e-12
111,3.59e-09,-2.58e-12
112,3.67e-09,-1.61e-12
113,3.85e-09,-9.4e-13
114,3.94e-09,1.09e-13
115,4.37e-09,-2.71e-14
116,4.88e-09,-4.89e-13
117,5.02e-09,2.79e-13
118,5.47e-09,-3.75e-14
119,5.89e-09,-2.47e-13
120,5.99e-09,6.61e-13
121,6.41e-09,5e-13
122,7.08e-09,-6.07e-13
123,7.59e-09,-1.18e-12
124,7.14e-09,1.57e-12
125,7.14e-09,2.9e-12
126,7.79e-09,2.06e-12
127,7.56e-09,4.11e-12
128,7.79e-09,4.58e-12
129,8.65e-09,2.97e-12
130,8.94e-09,3.22e-12
131,9e-09,4.23e-12
132,9.31e-09,4.38e-12
133,9.43e-09,5.21e-12
134,1.02e-08,3.85e-12
135,1.09e-08,2.83e-12
136,1.05e-08,5.36e-12
137,1.04e-08,6.75e-12
138,1.12e-08,5.54e-12
139,1.14e-08,6.11e-12
140,1.13e-08,7.83e-12
141,1.21e-08,6.34e-12
142,1.3e-08,4.29e-12
143,1.33e-08,4.93e-12
144,1.35e-08,5.57e-12
145,1.36e-08,6.52e-12
146,1.31e-08,9.37e-12
147,1.3e-08,1.1e-11
148,1.42e-08,8.1e-12
149,1.52e-08,5.81e-12
150,1.5e-08,7.83e-12
151,1.53e-08,8.23e-12
152,1.57e-08,8.37e-12
153,1.57e-08,9.29e-12
154,1.57e-08,1.05e-11
155,1.56e-08,1.19e-11
156,1.63e-08,1.08e-11
157,1.68e-08,1.03e-11
158,1.7e-08,1.12e-11
159,1.76e-08,1.02e-11
160,1.82e-08,9.7e-12
161,1.82e-08,1.09e-11
162,1.83e-08,1.18e-11
163,1.83e-08,1.32e-11
164,1.86e-08,1.35e-11
165,1.91e-08,1.3e-11
166,1.92e-08,1.39e-11
167,1.96e-08,1.38e-11
168,2e-08,1.37e-11
169,2.05e-08,1.33e-11
170,2.13e-08,1.18e-11
171,2.17e-08,1.17e-11
172,2.12e-08,1.45e-11
173,2.05e-08,1.84e-11
174,2.11e-08,1.77e-11
175,2.19e-08,1.61e-11
176,2.24e-08,1.58e-11
177,2.27e-08,1.6e-11
178,2.25e-08,1.78e-11
179,2.32e-08,1.66e-11
180,2.48e-08,1.23e-11
181,2.53e-08,1.2e-11
182,2.52e-08,1.35e-11
183,2.57e-08,1.34e-11
184,2.62e-08,1.31e-11
185,2.66e-08,1.29e-11
186,2.69e-08,1.33e-11
187,2.69e-08,1.46e-11
188,2.67e-08,1.67e-11
189,2.65e-08,1.86e-11
190,2.67e-08,1.93e-11
191,2.73e-08,1.82e-11
192,2.76e-08,1.86e-11
193,2.78e-08,1.89e-11
194,2.84e-08,1.81e-11
195,2.86e-08,1.9e-11
196,2.93e-08,1.77e-11
197,3e-08,1.66e-11
198,3.06e-08,1.6e-11
199,3.25e-08,1.1e-11
200,3.36e-08,8.44e-12
201,3.37e-08,9.44e-12
202,3.39e-08,1.01e-11
203,3.51e-08,7.54e-12
204,3.58e-08,6.49e-12
205,3.62e-08,6.47e-12
206,3.7e-08,4.98e-12
207,3.7e-08,6.28e-12
208,3.77e-08,5.2e-12
209,3.8e-08,5.45e-12
210,3.76e-08,8.08e-12
211,3.8e-08,7.8e-12
212,3.83e-08,8.09e-12
213,3.88e-08,7.76e-12
214,3.94e-08,6.93e-12
215,3.95e-08,7.86e-12
216,4.02e-08,6.78e-12
217,4.11e-08,5.36e-12
218,4.08e-08,7.71e-12
219,4.1e-08,8.33e-12
220,4.15e-08,7.85e-12
221,4.17e-08,8.23e-12
222,4.22e-08,7.89e-12
223,4.25e-08,7.85e-12
224,4.31e-08,7.3e-12
225,4.35e-08,6.88e-12
226,4.37e-08,7.63e-12
227,4.36e-08,9.45e-12
228,4.32e-08,1.19e-11
229,4.37e-08,1.16e-11
230,4.49e-08,9.05e-12
231,4.52e-08,9.2e-12
232,4.58e-08,8.8e-12
233,4.59e-08,9.71e-12
234,4.6e-08,1.04e-11
235,4.67e-08,9.21e-12
236,4.69e-08,9.99e-12
237,4.73e-08,9.91e-12
238,4.87e-08,6.44e-12
239,4.92e-08,5.78e-12
240,4.95e-08,6.16e-12
241,4.96e-08,6.96e-12
242,4.9e-08,1.05e-11
243,4.9e-08,1.18e-11
244,4.96e-08,1.1e-11
245,5e-08,1.12e-11
246,5e-08,1.25e-11
247,5.08e-08,1.1e-11
248,5.15e-08,9.86e-12
249,5.18e-08,1.03e-11
250,5.2e-08,1.08e-11
251,5.21e-08,1.18e-11
252,5.26e-08,1.14e-11
253,5.27e-08,1.25e-11
254,5.29e-08,1.29e-11
255,5.36e-08,1.19e-11
256,5.39e-08,1.21e-11
257,5.43e-08,1.2e-11
258,5.46e-08,1.24e-11
