,Sep,Force
0,0.0,-1.11e-10
1,-1.25e-11,-1.1e-10
2,-7.3e-11,-1.09e-10
3,-1.74e-10,-1.08e-10
4,-1.8e-10,-1.07e-10
5,-6.71e-11,-1.06e-10
6,-7.85e-11,-1.05e-10
7,-5.93e-11,-1.04e-10
8,3.4e-11,-1.03e-10
9,-1.11e-10,-1.01e-10
10,-2.12e-10,-9.98e-11
11,-2.48e-10,-9.84e-11
12,-2.6e-10,-9.71e-11
13,-2.43e-10,-9.6e-11
14,-3.39e-10,-9.45e-11
15,-3.33e-10,-9.34e-11
16,-3.81e-10,-9.21e-11
17,-4.9e-10,-9.06e-11
18,-4.4e-10,-8.96e-11
19,-4.92e-10,-8.83e-11
20,-5.39e-10,-8.7e-11
21,-5.16e-10,-8.59e-11
22,-5.69e-10,-8.45e-11
23,-6.54e-10,-8.3e-11
24,-6.48e-10,-8.19e-11
25,-6.62e-10,-8.07e-11
26,-7.76e-10,-7.93e-11
27,-7.63e-10,-7.82e-11
28,-6.86e-10,-7.73e-11
29,-7.37e-10,-7.59e-11
30,-6.43e-10,-7.5e-11
31,-5.58e-10,-7.4e-11
32,-6.36e-10,-7.26e-11
33,-6.54e-10,-7.13e-11
34,-6.83e-10,-7e-11
35,-6.4e-10,-6.88e-11
36,-5.68e-10,-6.78e-11
37,-5.03e-10,-6.68e-11
38,-4.54e-10,-6.58e-11
39,-4.99e-10,-6.45e-11
40,-4.27e-10,-6.35e-11
41,-4.1e-10,-6.24e-11
42,-4.28e-10,-6.12e-11
43,-4.59e-10,-5.99e-11
44,-6.31e-10,-5.81e-11
45,-7.1e-10,-5.66e-11
46,-6.82e-10,-5.54e-11
47,-6.63e-10,-5.42e-11
48,-6.06e-10,-5.32e-11
49,-5.92e-10,-5.21e-11
50,-4.95e-10,-5.13e-11
51,-4.19e-10,-5.03e-11
52,-5.5e-10,-4.86e-11
53,-4.44e-10,-4.76e-11
54,-2.37e-10,-4.71e-11
55,-2.41e-10,-4.58e-11
56,-2.86e-10,-4.45e-11
57,-3e-10,-4.33e-11
58,-1.92e-10,-4.24e-11
59,-1.39e-10,-4.14e-11
60,-1.79e-10,-4.01e-11
61,-1.38e-10,-3.91e-11
62,-5.92e-11,-3.83e-11
63,-2.25e-11,-3.72e-11
64,-1.12e-10,-3.57e-11
65,-1.83e-10,-3.42e-11
66,-1.98e-10,-3.28e-11
67,-6.3e-11,-3.19e-11
68,2.33e-10,-3.15e-11
69,3.74e-10,-3.07e-11
70,3.15e-10,-2.93e-11
71,2.81e-10,-2.8e-11
72,2.54e-10,-2.68e-11
73,2.28e-10,-2.55e-11
74,2.4e-10,-2.44e-11
75,2.53e-10,-2.33e-11
76,2.1e-10,-2.19e-11
77,1.65e-10,-2.05e-11
78,4.49e-10,-2.02e-11
79,5.96e-10,-1.94e-11
80,4.44e-10,-1.76e-11
81,4.68e-10,-1.64e-11
82,5.87e-10,-1.55e-11
83,7.13e-10,-1.47e-11
84,7.88e-10,-1.37e-11
85,1.08e-09,-1.36e-11
86,1.38e-09,-1.34e-11
87,1.38e-09,-1.21e-11
88,1.5e-09,-1.13e-11
89,1.74e-09,-1.09e-11
90,1.68e-09,-9.58e-12
91,1.53e-09,-7.98e-12
92,1.38e-09,-6.35e-12
93,1.66e-09,-6.03e-12
94,1.83e-09,-5.28e-12
95,1.63e-09,-3.22e-12
96,1.66e-09,-1.91e-12
97,2.04e-09,-1.81e-12
98,2.51e-09,-2.09e-12
99,2.68e-09,-1.44e-12
100,3.12e-09,-1.74e-12
101,3.2e-09,-8.01e-13
102,3.29e-09,6.39e-14
103,3.76e-09,-3.4e-13
104,3.71e-09,1.07e-12
105,3.52e-09,2.97e-12
106,4.1e-09,2.25e-12
107,5.09e-09,1.04e-13
108,5.04e-09,1.4e-12
109,4.48e-09,4.49e-12
110,4.85e-09,4.54e-12
111,5.97e-09,2.15e-12
112,6.12e-09,2.98e-12
113,6.15e-09,4.2e-12
114,6.26e-09,5.15e-12
115,6.38e-09,6.01e-12
116,6.59e-09,6.49e-12
117,6.18e-09,9.08e-12
118,6.37e-09,9.66e-12
119,7.2e-09,8.11e-12
120,8.2e-09,6.03e-12
121,8.49e-09,6.33e-12
122,7.86e-09,9.79e-12
123,7.63e-09,1.18e-11
124,8.15e-09,1.14e-11
125,9.05e-09,9.57e-12
126,9.88e-09,7.96e-12
127,1.02e-08,8.11e-12
128,1.03e-08,8.77e-12
129,1.08e-08,8.52e-12
130,1.11e-08,8.38e-12
131,1.1e-08,9.98e-12
132,1.09e-08,1.17e-11
133,1.14e-08,1.11e-11
134,1.17e-08,1.15e-11
135,1.2e-08,1.19e-11
136,1.28e-08,1.04e-11
137,1.32e-08,1.04e-11
138,1.31e-08,1.19e-11
139,1.31e-08,1.33e-11
140,1.4e-08,1.15e-11
141,1.45e-08,1.09e-11
142,1.46e-08,1.18e-11
143,1.53e-08,1.08e-11
144,1.54e-08,1.19e-11
145,1.55e-08,1.28e-11
146,1.6e-08,1.26e-11
147,1.64e-08,1.25e-11
148,1.67e-08,1.26e-11
149,1.69e-08,1.29e-11
150,1.74e-08,1.24e-11
151,1.77e-08,1.27e-11
152,1.77e-08,1.38e-11
153,1.71e-08,1.71e-11
154,1.68e-08,1.92e-11
155,1.8e-08,1.67e-11
