,Sep,Force
0,0.0,-1.24e-10
1,-7.73e-11,-1.23e-10
2,-8.81e-11,-1.23e-10
3,-4.99e-12,-1.22e-10
4,-9.92e-12,-1.21e-10
5,-2.9e-12,-1.2e-10
6,2.36e-11,-1.18e-10
7,1.55e-11,-1.17e-10
8,-9.76e-11,-1.16e-10
9,-1.28e-10,-1.15e-10
10,-1.23e-10,-1.13e-10
11,-2.35e-10,-1.12e-10
12,-2.86e-10,-1.11e-10
13,-2.46e-10,-1.1e-10
14,-2.07e-10,-1.09e-10
15,-2.94e-10,-1.07e-10
16,-3.45e-10,-1.06e-10
17,-3.45e-10,-1.05e-10
18,-3.2e-10,-1.04e-10
19,-3.9e-10,-1.02e-10
20,-5.31e-10,-1.01e-10
21,-5.13e-10,-9.94e-11
22,-5.62e-10,-9.81e-11
23,-6.29e-10,-9.67e-11
24,-5.67e-10,-9.57e-11
25,-5.1e-10,-9.46e-11
26,-4.24e-10,-9.37e-11
27,-3.41e-10,-9.28e-11
28,-3.98e-10,-9.14e-11
29,-4.52e-10,-9.01e-11
30,-5.16e-10,-8.88e-11
31,-6.23e-10,-8.72e-11
32,-6.69e-10,-8.59e-11
33,-7.57e-10,-8.44e-11
34,-7.39e-10,-8.32e-11
35,-6.2e-10,-8.23e-11
36,-6.9e-10,-8.08e-11
37,-7.29e-10,-7.94e-11
38,-7.06e-10,-7.83e-11
39,-6.56e-10,-7.73e-11
40,-5.81e-10,-7.64e-11
41,-5.91e-10,-7.51e-11
42,-5.87e-10,-7.38e-11
43,-5.79e-10,-7.27e-11
44,-6.37e-10,-7.13e-11
45,-6.89e-10,-7e-11
46,-7.55e-10,-6.86e-11
47,-7.08e-10,-6.76e-11
48,-6.62e-10,-6.65e-11
49,-7.18e-10,-6.5e-11
50,-7.23e-10,-6.37e-11
51,-7.18e-10,-6.25e-11
52,-6.77e-10,-6.14e-11
53,-6.49e-10,-6.02e-11
54,-6.55e-10,-5.89e-11
55,-5.88e-10,-5.79e-11
56,-5.96e-10,-5.67e-11
57,-7.1e-10,-5.51e-11
58,-7.27e-10,-5.38e-11
59,-6.59e-10,-5.28e-11
60,-5.34e-10,-5.19e-11
61,-3.75e-10,-5.12e-11
62,-2.1e-10,-5.06e-11
63,-2.37e-10,-4.94e-11
64,-3.51e-10,-4.8e-11
65,-4.18e-10,-4.66e-11
66,-3.85e-10,-4.56e-11
67,-2.2e-10,-4.49e-11
68,-2.09e-10,-4.36e-11
69,-2.51e-10,-4.21e-11
70,-2.43e-10,-4.09e-11
71,-1.14e-10,-4.02e-11
72,2.14e-10,-4.01e-11
73,1.95e-10,-3.88e-11
74,1.1e-10,-3.72e-11
75,4.25e-10,-3.69e-11
76,6.42e-10,-3.64e-11
77,6.91e-10,-3.53e-11
78,6.94e-10,-3.41e-11
79,6.58e-10,-3.26e-11
80,5.57e-10,-3.11e-11
81,6e-10,-3.01e-11
82,6.65e-10,-2.91e-11
