,Sep,Force
0,0.0,-1.32e-10
1,-1.03e-10,-1.31e-10
2,-2.21e-10,-1.3e-10
3,-2.13e-10,-1.29e-10
4,-2.02e-10,-1.28e-10
5,-1.68e-10,-1.27e-10
6,-1.11e-10,-1.26e-10
7,-1.27e-10,-1.24e-10
8,-1.69e-10,-1.23e-10
9,-1.5e-10,-1.22e-10
10,-2.36e-10,-1.2e-10
11,-3.78e-10,-1.19e-10
12,-4.33e-10,-1.18e-10
13,-4.22e-10,-1.16e-10
14,-4.12e-10,-1.15e-10
15,-4.4e-10,-1.14e-10
16,-4.21e-10,-1.13e-10
17,-3.8e-10,-1.12e-10
18,-4.17e-10,-1.1e-10
19,-4.62e-10,-1.09e-10
20,-4.84e-10,-1.08e-10
21,-5.61e-10,-1.06e-10
22,-5.95e-10,-1.05e-10
23,-6.31e-10,-1.04e-10
24,-6.59e-10,-1.03e-10
25,-6.3e-10,-1.02e-10
26,-6.02e-10,-1.01e-10
27,-6.84e-10,-9.91e-11
28,-7.28e-10,-9.79e-11
29,-6.07e-10,-9.71e-11
30,-5.65e-10,-9.6e-11
31,-6.38e-10,-9.45e-11
32,-7.16e-10,-9.29e-11
33,-7.48e-10,-9.15e-11
34,-8.18e-10,-9.01e-11
35,-9.41e-10,-8.86e-11
36,-9.42e-10,-8.75e-11
37,-9e-10,-8.65e-11
38,-8.58e-10,-8.54e-11
39,-8.74e-10,-8.41e-11
40,-9.56e-10,-8.26e-11
41,-1.05e-09,-8.11e-11
42,-1.13e-09,-7.96e-11
43,-1.09e-09,-7.85e-11
44,-1.09e-09,-7.73e-11
45,-1.1e-09,-7.61e-11
46,-1.09e-09,-7.49e-11
47,-1.11e-09,-7.37e-11
48,-1.05e-09,-7.27e-11
49,-9.79e-10,-7.17e-11
50,-9.18e-10,-7.07e-11
51,-8.36e-10,-6.97e-11
52,-9.22e-10,-6.82e-11
53,-1.06e-09,-6.66e-11
54,-1.02e-09,-6.55e-11
55,-9.75e-10,-6.45e-11
56,-1.03e-09,-6.3e-11
57,-9.76e-10,-6.2e-11
58,-8.74e-10,-6.11e-11
59,-9.21e-10,-5.98e-11
60,-1.08e-09,-5.8e-11
61,-1.16e-09,-5.65e-11
62,-1.11e-09,-5.54e-11
63,-1.12e-09,-5.4e-11
64,-1.14e-09,-5.27e-11
65,-1.08e-09,-5.17e-11
66,-1.06e-09,-5.06e-11
67,-1.05e-09,-4.94e-11
68,-9.89e-10,-4.85e-11
69,-9.73e-10,-4.73e-11
70,-9.56e-10,-4.61e-11
71,-9.55e-10,-4.49e-11
72,-9.49e-10,-4.36e-11
73,-7.89e-10,-4.3e-11
74,-7.4e-10,-4.2e-11
75,-9.56e-10,-4e-11
76,-1.03e-09,-3.84e-11
77,-9.17e-10,-3.76e-11
78,-8.42e-10,-3.66e-11
79,-1e-09,-3.49e-11
80,-1.07e-09,-3.35e-11
81,-9.04e-10,-3.28e-11
82,-8.85e-10,-3.16e-11
83,-1.02e-09,-2.99e-11
84,-1.13e-09,-2.83e-11
85,-1.14e-09,-2.71e-11
86,-9.44e-10,-2.65e-11
87,-7.73e-10,-2.58e-11
88,-9.38e-10,-2.39e-11
89,-1.02e-09,-2.24e-11
90,-1e-09,-2.12e-11
91,-9.1e-10,-2.02e-11
92,-8.56e-10,-1.91e-11
93,-7.97e-10,-1.82e-11
94,-6.3e-10,-1.76e-11
95,-6.36e-10,-1.65e-11
96,-7.21e-10,-1.51e-11
97,-7.69e-10,-1.38e-11
98,-6.67e-10,-1.3e-11
99,-5.07e-10,-1.22e-11
100,-4.66e-10,-1.1e-11
101,-2.69e-10,-1.03e-11
102,-2.53e-11,-9.73e-12
